mol_id,raw_smiles,orig_name,source,inchikey,parse_ok,d,d_rdkit,n_heavy,n_atoms,mw,charge,n_hbd,n_hba,frac_aromatic,n_rings,max_ring_size,n_frags,n_sym_classes,elements,dedup_key,n_sources,d_bin,d_bin_label
m000_d01,ClC1([C@@H](CCl)[C@H]2N(C1=O)CCC2)Cl,-42.92027941,cod,NWIZMFGYLMKIGO-WDSKDSINSA-N,1,1.0,1.0,13.0,23.0,242.53,0.0,0.0,1.0,0.0,2.0,5.0,1.0,12.0,C/Cl/N/O,NWIZMFGYLMKIGO-WDSKDSINSA-N,1.0,1.0,1
m001_d01,Brc1ccccc(c1=O)c1c2c(c(c3ccccc13)C#N)cccc2,-64.20946069,cod,ZUWJADRQQFPQMX-UHFFFAOYSA-N,1,1.0,1.0,25.0,37.0,386.25,0.0,0.0,2.0,0.84,4.0,7.0,1.0,19.0,Br/C/N/O,ZUWJADRQQFPQMX-UHFFFAOYSA-N,1.0,1.0,1
m002_d01,O=[N+]([O-])c1nnn[n-]1,Compound 179791,cod,QMZRAZLDYDLSBH-UHFFFAOYSA-N,1,1.0,1.0,8.0,8.0,114.04,-1.0,0.0,5.0,0.625,1.0,5.0,1.0,8.0,C/N/O,QMZRAZLDYDLSBH-UHFFFAOYSA-N,1.0,1.0,1
m003_d01,Clc1c(c2n[s+]sn2)cc(cc1)Cl,Compound 218067,cod,GEJHUINDPDMONN-UHFFFAOYSA-N,1,1.0,1.0,13.0,16.0,250.16,1.0,0.0,3.0,0.846,2.0,6.0,1.0,13.0,C/Cl/N/S,GEJHUINDPDMONN-UHFFFAOYSA-N,1.0,1.0,1
m004_d01,F[B-]1(F)n2c(ccc2)[C+](c2n1ccc2)C#Cc1ccc(cc1)c1ccccc1,Compound_200817,cod-50,ODSHAUWFPCLZMS-UHFFFAOYSA-N,1,1.0,1.0,28.0,43.0,368.2,0.0,0.0,0.0,0.786,5.0,6.0,1.0,18.0,B/C/F/N,ODSHAUWFPCLZMS-UHFFFAOYSA-N,1.0,1.0,1
m005_d01,Fc1cccc(c1C1=NSS=N1)F,2017650.cif,cod-59k,CZDDSGAVAZQYEZ-UHFFFAOYSA-N,1,1.0,1.0,13.0,17.0,218.25,0.0,1.0,3.0,0.462,2.0,6.0,1.0,10.0,C/F/N/S,CZDDSGAVAZQYEZ-UHFFFAOYSA-N,1.0,1.0,1
m006_d01,S=c1[nH]nc(o1)c1ccccc1,2212262.cif,cod-59k,FOHWXVBZGSVUGO-UHFFFAOYSA-N,1,1.0,1.0,12.0,18.0,178.22,0.0,1.0,3.0,0.917,2.0,6.0,1.0,10.0,C/N/O/S,FOHWXVBZGSVUGO-UHFFFAOYSA-N,3.0,1.0,1
m007_d01,c1cc[nH+]c(n1)c1nccc[nH+]1,2231931.cif,cod-59k,HKOAFLAGUQUJQG-UHFFFAOYSA-P,1,1.0,1.0,12.0,20.0,160.18,2.0,0.0,2.0,1.0,2.0,6.0,1.0,6.0,C/N,HKOAFLAGUQUJQG-UHFFFAOYSA-P,2.0,1.0,1
m008_d01,O=Cc1coc2c(c1=O)cc(cc2)Br,2239345.cif,cod-59k,PCEZXSJBHMOQFT-UHFFFAOYSA-N,1,1.0,1.0,14.0,19.0,253.05,0.0,0.0,3.0,0.714,2.0,6.0,1.0,14.0,Br/C/O,PCEZXSJBHMOQFT-UHFFFAOYSA-N,2.0,1.0,1
m009_d01,C1CNC[C@@H]1N,04S (3r)-pyrrolidin-3-amine,ligand-expo,NGXSWUFDCSEIOO-SCSAIBSYSA-N,1,1.0,0.0,6.0,16.0,86.14,0.0,2.0,2.0,0.0,1.0,5.0,1.0,6.0,C/N,NGXSWUFDCSEIOO-SCSAIBSYSA-N,1.0,1.0,1
m010_d01,C[NH3+],3P8 methylammonium ion,ligand-expo,BAVYZALUXZFZLV-UHFFFAOYSA-O,1,1.0,0.0,2.0,8.0,32.07,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,C/N,BAVYZALUXZFZLV-UHFFFAOYSA-O,1.0,1.0,1
m011_d01,c1cc(n2c(c1)ncn2)c3ccc(cc3)C#N,"8UY 4-([1,2,4]triazolo[1,5-a]pyridin-5-yl)benzonitrile",ligand-expo,DEYMFBHALUHGST-UHFFFAOYSA-N,1,1.0,1.0,17.0,25.0,220.24,0.0,0.0,3.0,0.882,3.0,6.0,1.0,15.0,C/N,DEYMFBHALUHGST-UHFFFAOYSA-N,1.0,1.0,1
m012_d01,c1c([nH]nn1)S,"EBJ 1h-1,2,3-triazole-5-thiol",ligand-expo,LLCOQBODWBFTDD-UHFFFAOYSA-N,1,1.0,0.0,6.0,9.0,101.13,0.0,2.0,3.0,0.833,1.0,5.0,1.0,6.0,C/N/S,LLCOQBODWBFTDD-UHFFFAOYSA-N,1.0,1.0,1
